,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229
0,0.0,1828.0,5671.0,16995.0,41951.0,70841.0,80092.0,71718.0,514.0,292742.0,448.0,310.0,40.0,960.0,5329.0,13237.0,17916.0,14743.0,519.0,55028.0,319.0,276.0,1593.0,5458.0,12530.0,18468.0,15205.0,8873.0,518.0,65726.0,133.0,1074.0,4001.0,12724.0,33057.0,58477.0,67426.0,58097.0,516.0,238367.0,493.0,425.0,290.0,125.0,1052.0,2218.0,3081.0,3792.0,520.0,12700.0,429.0,254.0,108.0,1160.0,3618.0,6211.0,7019.0,5950.0,520.0,27023.0,471.0,117.0,1151.0,4895.0,14482.0,26845.0,33448.0,37737.0,517.0,121613.0,505.0,419.0,107.0,1299.0,6016.0,14180.0,20882.0,22702.0,518.0,67690.0,353.0,200.0,1375.0,4759.0,11346.0,17790.0,19004.0,17976.0,519.0,75738.0,488.0,420.0,222.0,566.0,3134.0,8205.0,13956.0,17773.0,520.0,46144.0,492.0,385.0,129.0,717.0,3278.0,8113.0,13420.0,19355.0,519.0,47518.0,485.0,405.0,153.0,667.0,2958.0,6359.0,8503.0,9548.0,519.0,30633.0,361.0,108.0,444.0,1921.0,5131.0,8931.0,10476.0,10890.0,519.0,40965.0,378.0,5.0,1038.0,3999.0,10377.0,16894.0,15300.0,9538.0,519.0,60414.0,443.0,395.0,161.0,667.0,3544.0,7706.0,8823.0,6568.0,520.0,29949.0,389.0,87.0,1648.0,6158.0,16069.0,26987.0,26748.0,18020.0,518.0,98970.0,215.0,691.0,2084.0,4121.0,6310.0,6244.0,2921.0,343.0,519.0,26140.0,520.0,520.0,517.0,501.0,335.0,897.0,5766.0,13386.0,520.0,21296.0,520.0,519.0,513.0,462.0,240.0,4475.0,16906.0,34932.0,519.0,58180.0,440.0,63.0,820.0,3450.0,9208.0,16085.0,16893.0,13787.0,518.0,63382.0,398.0,226.0,67.0,316.0,1222.0,2139.0,2633.0,3265.0,519.0,12525.0,229.0,1590.0,4401.0,12618.0,32295.0,56724.0,66222.0,66277.0,514.0,244002.0,911.0,4472.0,12199.0,33484.0,81618.0,140190.0,170231.0,182526.0,508.0,629283.0
1,1828.0,0.0,3843.0,15167.0,40123.0,69013.0,78264.0,69890.0,2342.0,290914.0,2276.0,2138.0,1868.0,868.0,3501.0,11409.0,16088.0,12915.0,2347.0,53200.0,2147.0,1552.0,235.0,3630.0,10702.0,16640.0,13377.0,7045.0,2346.0,63898.0,1961.0,754.0,2173.0,10896.0,31229.0,56649.0,65598.0,56269.0,2344.0,236539.0,2321.0,2253.0,2118.0,1703.0,776.0,390.0,1253.0,1964.0,2348.0,10872.0,2257.0,2082.0,1720.0,668.0,1790.0,4383.0,5191.0,4122.0,2348.0,25195.0,2299.0,1945.0,677.0,3067.0,12654.0,25017.0,31620.0,35909.0,2345.0,119785.0,2333.0,2247.0,1935.0,529.0,4188.0,12352.0,19054.0,20874.0,2346.0,65862.0,2181.0,1628.0,453.0,2931.0,9518.0,15962.0,17176.0,16148.0,2347.0,73910.0,2316.0,2248.0,2050.0,1262.0,1306.0,6377.0,12128.0,15945.0,2348.0,44316.0,2320.0,2213.0,1957.0,1111.0,1450.0,6285.0,11592.0,17527.0,2347.0,45690.0,2313.0,2233.0,1981.0,1161.0,1130.0,4531.0,6675.0,7720.0,2347.0,28805.0,2189.0,1936.0,1384.0,93.0,3303.0,7103.0,8648.0,9062.0,2347.0,39137.0,2206.0,1823.0,790.0,2171.0,8549.0,15066.0,13472.0,7710.0,2347.0,58586.0,2271.0,2223.0,1989.0,1161.0,1716.0,5878.0,6995.0,4740.0,2348.0,28121.0,2217.0,1741.0,180.0,4330.0,14241.0,25159.0,24920.0,16192.0,2346.0,97142.0,2043.0,1137.0,256.0,2293.0,4482.0,4416.0,1093.0,1485.0,2347.0,24312.0,2348.0,2348.0,2345.0,2329.0,2163.0,931.0,3938.0,11558.0,2348.0,19468.0,2348.0,2347.0,2341.0,2290.0,1588.0,2647.0,15078.0,33104.0,2347.0,56352.0,2268.0,1891.0,1008.0,1622.0,7380.0,14257.0,15065.0,11959.0,2346.0,61554.0,2226.0,2054.0,1895.0,1512.0,606.0,311.0,805.0,1437.0,2347.0,10697.0,1599.0,238.0,2573.0,10790.0,30467.0,54896.0,64394.0,64449.0,2342.0,242174.0,917.0,2644.0,10371.0,31656.0,79790.0,138362.0,168403.0,180698.0,2336.0,627455.0
2,5671.0,3843.0,0.0,11324.0,36280.0,65170.0,74421.0,66047.0,6185.0,287071.0,6119.0,5981.0,5711.0,4711.0,342.0,7566.0,12245.0,9072.0,6190.0,49357.0,5990.0,5395.0,4078.0,213.0,6859.0,12797.0,9534.0,3202.0,6189.0,60055.0,5804.0,4597.0,1670.0,7053.0,27386.0,52806.0,61755.0,52426.0,6187.0,232696.0,6164.0,6096.0,5961.0,5546.0,4619.0,3453.0,2590.0,1879.0,6191.0,7029.0,6100.0,5925.0,5563.0,4511.0,2053.0,540.0,1348.0,279.0,6191.0,21352.0,6142.0,5788.0,4520.0,776.0,8811.0,21174.0,27777.0,32066.0,6188.0,115942.0,6176.0,6090.0,5778.0,4372.0,345.0,8509.0,15211.0,17031.0,6189.0,62019.0,6024.0,5471.0,4296.0,912.0,5675.0,12119.0,13333.0,12305.0,6190.0,70067.0,6159.0,6091.0,5893.0,5105.0,2537.0,2534.0,8285.0,12102.0,6191.0,40473.0,6163.0,6056.0,5800.0,4954.0,2393.0,2442.0,7749.0,13684.0,6190.0,41847.0,6156.0,6076.0,5824.0,5004.0,2713.0,688.0,2832.0,3877.0,6190.0,24962.0,6032.0,5779.0,5227.0,3750.0,540.0,3260.0,4805.0,5219.0,6190.0,35294.0,6049.0,5666.0,4633.0,1672.0,4706.0,11223.0,9629.0,3867.0,6190.0,54743.0,6114.0,6066.0,5832.0,5004.0,2127.0,2035.0,3152.0,897.0,6191.0,24278.0,6060.0,5584.0,4023.0,487.0,10398.0,21316.0,21077.0,12349.0,6189.0,93299.0,5886.0,4980.0,3587.0,1550.0,639.0,573.0,2750.0,5328.0,6190.0,20469.0,6191.0,6191.0,6188.0,6172.0,6006.0,4774.0,95.0,7715.0,6191.0,15625.0,6191.0,6190.0,6184.0,6133.0,5431.0,1196.0,11235.0,29261.0,6190.0,52509.0,6111.0,5734.0,4851.0,2221.0,3537.0,10414.0,11222.0,8116.0,6189.0,57711.0,6069.0,5897.0,5738.0,5355.0,4449.0,3532.0,3038.0,2406.0,6190.0,6854.0,5442.0,4081.0,1270.0,6947.0,26624.0,51053.0,60551.0,60606.0,6185.0,238331.0,4760.0,1199.0,6528.0,27813.0,75947.0,134519.0,164560.0,176855.0,6179.0,623612.0
3,16995.0,15167.0,11324.0,0.0,24956.0,53846.0,63097.0,54723.0,17509.0,275747.0,17443.0,17305.0,17035.0,16035.0,11666.0,3758.0,921.0,2252.0,17514.0,38033.0,17314.0,16719.0,15402.0,11537.0,4465.0,1473.0,1790.0,8122.0,17513.0,48731.0,17128.0,15921.0,12994.0,4271.0,16062.0,41482.0,50431.0,41102.0,17511.0,221372.0,17488.0,17420.0,17285.0,16870.0,15943.0,14777.0,13914.0,13203.0,17515.0,4295.0,17424.0,17249.0,16887.0,15835.0,13377.0,10784.0,9976.0,11045.0,17515.0,10028.0,17466.0,17112.0,15844.0,12100.0,2513.0,9850.0,16453.0,20742.0,17512.0,104618.0,17500.0,17414.0,17102.0,15696.0,10979.0,2815.0,3887.0,5707.0,17513.0,50695.0,17348.0,16795.0,15620.0,12236.0,5649.0,795.0,2009.0,981.0,17514.0,58743.0,17483.0,17415.0,17217.0,16429.0,13861.0,8790.0,3039.0,778.0,17515.0,29149.0,17487.0,17380.0,17124.0,16278.0,13717.0,8882.0,3575.0,2360.0,17514.0,30523.0,17480.0,17400.0,17148.0,16328.0,14037.0,10636.0,8492.0,7447.0,17514.0,13638.0,17356.0,17103.0,16551.0,15074.0,11864.0,8064.0,6519.0,6105.0,17514.0,23970.0,17373.0,16990.0,15957.0,12996.0,6618.0,101.0,1695.0,7457.0,17514.0,43419.0,17438.0,17390.0,17156.0,16328.0,13451.0,9289.0,8172.0,10427.0,17515.0,12954.0,17384.0,16908.0,15347.0,10837.0,926.0,9992.0,9753.0,1025.0,17513.0,81975.0,17210.0,16304.0,14911.0,12874.0,10685.0,10751.0,14074.0,16652.0,17514.0,9145.0,17515.0,17515.0,17512.0,17496.0,17330.0,16098.0,11229.0,3609.0,17515.0,4301.0,17515.0,17514.0,17508.0,17457.0,16755.0,12520.0,89.0,17937.0,17514.0,41185.0,17435.0,17058.0,16175.0,13545.0,7787.0,910.0,102.0,3208.0,17513.0,46387.0,17393.0,17221.0,17062.0,16679.0,15773.0,14856.0,14362.0,13730.0,17514.0,4470.0,16766.0,15405.0,12594.0,4377.0,15300.0,39729.0,49227.0,49282.0,17509.0,227007.0,16084.0,12523.0,4796.0,16489.0,64623.0,123195.0,153236.0,165531.0,17503.0,612288.0
4,41951.0,40123.0,36280.0,24956.0,0.0,28890.0,38141.0,29767.0,42465.0,250791.0,42399.0,42261.0,41991.0,40991.0,36622.0,28714.0,24035.0,27208.0,42470.0,13077.0,42270.0,41675.0,40358.0,36493.0,29421.0,23483.0,26746.0,33078.0,42469.0,23775.0,42084.0,40877.0,37950.0,29227.0,8894.0,16526.0,25475.0,16146.0,42467.0,196416.0,42444.0,42376.0,42241.0,41826.0,40899.0,39733.0,38870.0,38159.0,42471.0,29251.0,42380.0,42205.0,41843.0,40791.0,38333.0,35740.0,34932.0,36001.0,42471.0,14928.0,42422.0,42068.0,40800.0,37056.0,27469.0,15106.0,8503.0,4214.0,42468.0,79662.0,42456.0,42370.0,42058.0,40652.0,35935.0,27771.0,21069.0,19249.0,42469.0,25739.0,42304.0,41751.0,40576.0,37192.0,30605.0,24161.0,22947.0,23975.0,42470.0,33787.0,42439.0,42371.0,42173.0,41385.0,38817.0,33746.0,27995.0,24178.0,42471.0,4193.0,42443.0,42336.0,42080.0,41234.0,38673.0,33838.0,28531.0,22596.0,42470.0,5567.0,42436.0,42356.0,42104.0,41284.0,38993.0,35592.0,33448.0,32403.0,42470.0,11318.0,42312.0,42059.0,41507.0,40030.0,36820.0,33020.0,31475.0,31061.0,42470.0,986.0,42329.0,41946.0,40913.0,37952.0,31574.0,25057.0,26651.0,32413.0,42470.0,18463.0,42394.0,42346.0,42112.0,41284.0,38407.0,34245.0,33128.0,35383.0,42471.0,12002.0,42340.0,41864.0,40303.0,35793.0,25882.0,14964.0,15203.0,23931.0,42469.0,57019.0,42166.0,41260.0,39867.0,37830.0,35641.0,35707.0,39030.0,41608.0,42470.0,15811.0,42471.0,42471.0,42468.0,42452.0,42286.0,41054.0,36185.0,28565.0,42471.0,20655.0,42471.0,42470.0,42464.0,42413.0,41711.0,37476.0,25045.0,7019.0,42470.0,16229.0,42391.0,42014.0,41131.0,38501.0,32743.0,25866.0,25058.0,28164.0,42469.0,21431.0,42349.0,42177.0,42018.0,41635.0,40729.0,39812.0,39318.0,38686.0,42470.0,29426.0,41722.0,40361.0,37550.0,29333.0,9656.0,14773.0,24271.0,24326.0,42465.0,202051.0,41040.0,37479.0,29752.0,8467.0,39667.0,98239.0,128280.0,140575.0,42459.0,587332.0
5,70841.0,69013.0,65170.0,53846.0,28890.0,0.0,9251.0,877.0,71355.0,221901.0,71289.0,71151.0,70881.0,69881.0,65512.0,57604.0,52925.0,56098.0,71360.0,15813.0,71160.0,70565.0,69248.0,65383.0,58311.0,52373.0,55636.0,61968.0,71359.0,5115.0,70974.0,69767.0,66840.0,58117.0,37784.0,12364.0,3415.0,12744.0,71357.0,167526.0,71334.0,71266.0,71131.0,70716.0,69789.0,68623.0,67760.0,67049.0,71361.0,58141.0,71270.0,71095.0,70733.0,69681.0,67223.0,64630.0,63822.0,64891.0,71361.0,43818.0,71312.0,70958.0,69690.0,65946.0,56359.0,43996.0,37393.0,33104.0,71358.0,50772.0,71346.0,71260.0,70948.0,69542.0,64825.0,56661.0,49959.0,48139.0,71359.0,3151.0,71194.0,70641.0,69466.0,66082.0,59495.0,53051.0,51837.0,52865.0,71360.0,4897.0,71329.0,71261.0,71063.0,70275.0,67707.0,62636.0,56885.0,53068.0,71361.0,24697.0,71333.0,71226.0,70970.0,70124.0,67563.0,62728.0,57421.0,51486.0,71360.0,23323.0,71326.0,71246.0,70994.0,70174.0,67883.0,64482.0,62338.0,61293.0,71360.0,40208.0,71202.0,70949.0,70397.0,68920.0,65710.0,61910.0,60365.0,59951.0,71360.0,29876.0,71219.0,70836.0,69803.0,66842.0,60464.0,53947.0,55541.0,61303.0,71360.0,10427.0,71284.0,71236.0,71002.0,70174.0,67297.0,63135.0,62018.0,64273.0,71361.0,40892.0,71230.0,70754.0,69193.0,64683.0,54772.0,43854.0,44093.0,52821.0,71359.0,28129.0,71056.0,70150.0,68757.0,66720.0,64531.0,64597.0,67920.0,70498.0,71360.0,44701.0,71361.0,71361.0,71358.0,71342.0,71176.0,69944.0,65075.0,57455.0,71361.0,49545.0,71361.0,71360.0,71354.0,71303.0,70601.0,66366.0,53935.0,35909.0,71360.0,12661.0,71281.0,70904.0,70021.0,67391.0,61633.0,54756.0,53948.0,57054.0,71359.0,7459.0,71239.0,71067.0,70908.0,70525.0,69619.0,68702.0,68208.0,67576.0,71360.0,58316.0,70612.0,69251.0,66440.0,58223.0,38546.0,14117.0,4619.0,4564.0,71355.0,173161.0,69930.0,66369.0,58642.0,37357.0,10777.0,69349.0,99390.0,111685.0,71349.0,558442.0
6,80092.0,78264.0,74421.0,63097.0,38141.0,9251.0,0.0,8374.0,80606.0,212650.0,80540.0,80402.0,80132.0,79132.0,74763.0,66855.0,62176.0,65349.0,80611.0,25064.0,80411.0,79816.0,78499.0,74634.0,67562.0,61624.0,64887.0,71219.0,80610.0,14366.0,80225.0,79018.0,76091.0,67368.0,47035.0,21615.0,12666.0,21995.0,80608.0,158275.0,80585.0,80517.0,80382.0,79967.0,79040.0,77874.0,77011.0,76300.0,80612.0,67392.0,80521.0,80346.0,79984.0,78932.0,76474.0,73881.0,73073.0,74142.0,80612.0,53069.0,80563.0,80209.0,78941.0,75197.0,65610.0,53247.0,46644.0,42355.0,80609.0,41521.0,80597.0,80511.0,80199.0,78793.0,74076.0,65912.0,59210.0,57390.0,80610.0,12402.0,80445.0,79892.0,78717.0,75333.0,68746.0,62302.0,61088.0,62116.0,80611.0,4354.0,80580.0,80512.0,80314.0,79526.0,76958.0,71887.0,66136.0,62319.0,80612.0,33948.0,80584.0,80477.0,80221.0,79375.0,76814.0,71979.0,66672.0,60737.0,80611.0,32574.0,80577.0,80497.0,80245.0,79425.0,77134.0,73733.0,71589.0,70544.0,80611.0,49459.0,80453.0,80200.0,79648.0,78171.0,74961.0,71161.0,69616.0,69202.0,80611.0,39127.0,80470.0,80087.0,79054.0,76093.0,69715.0,63198.0,64792.0,70554.0,80611.0,19678.0,80535.0,80487.0,80253.0,79425.0,76548.0,72386.0,71269.0,73524.0,80612.0,50143.0,80481.0,80005.0,78444.0,73934.0,64023.0,53105.0,53344.0,62072.0,80610.0,18878.0,80307.0,79401.0,78008.0,75971.0,73782.0,73848.0,77171.0,79749.0,80611.0,53952.0,80612.0,80612.0,80609.0,80593.0,80427.0,79195.0,74326.0,66706.0,80612.0,58796.0,80612.0,80611.0,80605.0,80554.0,79852.0,75617.0,63186.0,45160.0,80611.0,21912.0,80532.0,80155.0,79272.0,76642.0,70884.0,64007.0,63199.0,66305.0,80610.0,16710.0,80490.0,80318.0,80159.0,79776.0,78870.0,77953.0,77459.0,76827.0,80611.0,67567.0,79863.0,78502.0,75691.0,67474.0,47797.0,23368.0,13870.0,13815.0,80606.0,163910.0,79181.0,75620.0,67893.0,46608.0,1526.0,60098.0,90139.0,102434.0,80600.0,549191.0
7,71718.0,69890.0,66047.0,54723.0,29767.0,877.0,8374.0,0.0,72232.0,221024.0,72166.0,72028.0,71758.0,70758.0,66389.0,58481.0,53802.0,56975.0,72237.0,16690.0,72037.0,71442.0,70125.0,66260.0,59188.0,53250.0,56513.0,62845.0,72236.0,5992.0,71851.0,70644.0,67717.0,58994.0,38661.0,13241.0,4292.0,13621.0,72234.0,166649.0,72211.0,72143.0,72008.0,71593.0,70666.0,69500.0,68637.0,67926.0,72238.0,59018.0,72147.0,71972.0,71610.0,70558.0,68100.0,65507.0,64699.0,65768.0,72238.0,44695.0,72189.0,71835.0,70567.0,66823.0,57236.0,44873.0,38270.0,33981.0,72235.0,49895.0,72223.0,72137.0,71825.0,70419.0,65702.0,57538.0,50836.0,49016.0,72236.0,4028.0,72071.0,71518.0,70343.0,66959.0,60372.0,53928.0,52714.0,53742.0,72237.0,4020.0,72206.0,72138.0,71940.0,71152.0,68584.0,63513.0,57762.0,53945.0,72238.0,25574.0,72210.0,72103.0,71847.0,71001.0,68440.0,63605.0,58298.0,52363.0,72237.0,24200.0,72203.0,72123.0,71871.0,71051.0,68760.0,65359.0,63215.0,62170.0,72237.0,41085.0,72079.0,71826.0,71274.0,69797.0,66587.0,62787.0,61242.0,60828.0,72237.0,30753.0,72096.0,71713.0,70680.0,67719.0,61341.0,54824.0,56418.0,62180.0,72237.0,11304.0,72161.0,72113.0,71879.0,71051.0,68174.0,64012.0,62895.0,65150.0,72238.0,41769.0,72107.0,71631.0,70070.0,65560.0,55649.0,44731.0,44970.0,53698.0,72236.0,27252.0,71933.0,71027.0,69634.0,67597.0,65408.0,65474.0,68797.0,71375.0,72237.0,45578.0,72238.0,72238.0,72235.0,72219.0,72053.0,70821.0,65952.0,58332.0,72238.0,50422.0,72238.0,72237.0,72231.0,72180.0,71478.0,67243.0,54812.0,36786.0,72237.0,13538.0,72158.0,71781.0,70898.0,68268.0,62510.0,55633.0,54825.0,57931.0,72236.0,8336.0,72116.0,71944.0,71785.0,71402.0,70496.0,69579.0,69085.0,68453.0,72237.0,59193.0,71489.0,70128.0,67317.0,59100.0,39423.0,14994.0,5496.0,5441.0,72232.0,172284.0,70807.0,67246.0,59519.0,38234.0,9900.0,68472.0,98513.0,110808.0,72226.0,557565.0
8,514.0,2342.0,6185.0,17509.0,42465.0,71355.0,80606.0,72232.0,0.0,293256.0,66.0,204.0,474.0,1474.0,5843.0,13751.0,18430.0,15257.0,5.0,55542.0,195.0,790.0,2107.0,5972.0,13044.0,18982.0,15719.0,9387.0,4.0,66240.0,381.0,1588.0,4515.0,13238.0,33571.0,58991.0,67940.0,58611.0,2.0,238881.0,21.0,89.0,224.0,639.0,1566.0,2732.0,3595.0,4306.0,6.0,13214.0,85.0,260.0,622.0,1674.0,4132.0,6725.0,7533.0,6464.0,6.0,27537.0,43.0,397.0,1665.0,5409.0,14996.0,27359.0,33962.0,38251.0,3.0,122127.0,9.0,95.0,407.0,1813.0,6530.0,14694.0,21396.0,23216.0,4.0,68204.0,161.0,714.0,1889.0,5273.0,11860.0,18304.0,19518.0,18490.0,5.0,76252.0,26.0,94.0,292.0,1080.0,3648.0,8719.0,14470.0,18287.0,6.0,46658.0,22.0,129.0,385.0,1231.0,3792.0,8627.0,13934.0,19869.0,5.0,48032.0,29.0,109.0,361.0,1181.0,3472.0,6873.0,9017.0,10062.0,5.0,31147.0,153.0,406.0,958.0,2435.0,5645.0,9445.0,10990.0,11404.0,5.0,41479.0,136.0,519.0,1552.0,4513.0,10891.0,17408.0,15814.0,10052.0,5.0,60928.0,71.0,119.0,353.0,1181.0,4058.0,8220.0,9337.0,7082.0,6.0,30463.0,125.0,601.0,2162.0,6672.0,16583.0,27501.0,27262.0,18534.0,4.0,99484.0,299.0,1205.0,2598.0,4635.0,6824.0,6758.0,3435.0,857.0,5.0,26654.0,6.0,6.0,3.0,13.0,179.0,1411.0,6280.0,13900.0,6.0,21810.0,6.0,5.0,1.0,52.0,754.0,4989.0,17420.0,35446.0,5.0,58694.0,74.0,451.0,1334.0,3964.0,9722.0,16599.0,17407.0,14301.0,4.0,63896.0,116.0,288.0,447.0,830.0,1736.0,2653.0,3147.0,3779.0,5.0,13039.0,743.0,2104.0,4915.0,13132.0,32809.0,57238.0,66736.0,66791.0,0.0,244516.0,1425.0,4986.0,12713.0,33998.0,82132.0,140704.0,170745.0,183040.0,6.0,629797.0
9,292742.0,290914.0,287071.0,275747.0,250791.0,221901.0,212650.0,221024.0,293256.0,0.0,293190.0,293052.0,292782.0,291782.0,287413.0,279505.0,274826.0,277999.0,293261.0,237714.0,293061.0,292466.0,291149.0,287284.0,280212.0,274274.0,277537.0,283869.0,293260.0,227016.0,292875.0,291668.0,288741.0,280018.0,259685.0,234265.0,225316.0,234645.0,293258.0,54375.0,293235.0,293167.0,293032.0,292617.0,291690.0,290524.0,289661.0,288950.0,293262.0,280042.0,293171.0,292996.0,292634.0,291582.0,289124.0,286531.0,285723.0,286792.0,293262.0,265719.0,293213.0,292859.0,291591.0,287847.0,278260.0,265897.0,259294.0,255005.0,293259.0,171129.0,293247.0,293161.0,292849.0,291443.0,286726.0,278562.0,271860.0,270040.0,293260.0,225052.0,293095.0,292542.0,291367.0,287983.0,281396.0,274952.0,273738.0,274766.0,293261.0,217004.0,293230.0,293162.0,292964.0,292176.0,289608.0,284537.0,278786.0,274969.0,293262.0,246598.0,293234.0,293127.0,292871.0,292025.0,289464.0,284629.0,279322.0,273387.0,293261.0,245224.0,293227.0,293147.0,292895.0,292075.0,289784.0,286383.0,284239.0,283194.0,293261.0,262109.0,293103.0,292850.0,292298.0,290821.0,287611.0,283811.0,282266.0,281852.0,293261.0,251777.0,293120.0,292737.0,291704.0,288743.0,282365.0,275848.0,277442.0,283204.0,293261.0,232328.0,293185.0,293137.0,292903.0,292075.0,289198.0,285036.0,283919.0,286174.0,293262.0,262793.0,293131.0,292655.0,291094.0,286584.0,276673.0,265755.0,265994.0,274722.0,293260.0,193772.0,292957.0,292051.0,290658.0,288621.0,286432.0,286498.0,289821.0,292399.0,293261.0,266602.0,293262.0,293262.0,293259.0,293243.0,293077.0,291845.0,286976.0,279356.0,293262.0,271446.0,293262.0,293261.0,293255.0,293204.0,292502.0,288267.0,275836.0,257810.0,293261.0,234562.0,293182.0,292805.0,291922.0,289292.0,283534.0,276657.0,275849.0,278955.0,293260.0,229360.0,293140.0,292968.0,292809.0,292426.0,291520.0,290603.0,290109.0,289477.0,293261.0,280217.0,292513.0,291152.0,288341.0,280124.0,260447.0,236018.0,226520.0,226465.0,293256.0,48740.0,291831.0,288270.0,280543.0,259258.0,211124.0,152552.0,122511.0,110216.0,293250.0,336541.0
