,Orig_Tweet,cluster
6487,rt cricketwallah moral story spains debacle v russia passes ball possession dont win matches goals heroic defenc…,3
340851,rt afp looks like get mobbed celebrating croatian players worldcup yuriyurisky,3
464630,sad croatia remain good loser lets congratulate africaunion star team france victory africa shithole civilization problems women 8 children france bring nd worldcup,3
363859,there’s one match left sad worldcup,3
336790,rt afp looks like get mobbed celebrating croatian players worldcup yuriyurisky,3
512303,rt shadowtwts croatian fans dont sad team well proud worldcupfinal worldcup cro,3
309560,england brings eric dier instead loftuscheek southgate blame dont go engcro eng worldcup,3
407859,rt armenalijaj95 leave croatian president rain without respect meanwhile stay like boss umbrella …,3
433336,rt christenpress amazing worldcup huge congratulations france sad month,3
268770,dont even know support two frabel dont like french coach like thierry henry worldcup,3
240974,rt footy brazil fans pelting team bus eggs players made way home world cup worldcup bra,3
249902,rt adammaina one promises cracker match dont forget tune live coverage heavyweight semifina…,3
302785,rt antemarkic croatian flag actually predicted modric standing way three lions semi finals cro eng engcro croeng…,3
307313,hmm guess dear morgfair watching worldcup dont u know englandvscroatia 1 rightnow,3
344265,rt afp looks like get mobbed celebrating croatian players worldcup yuriyurisky,3
264568,rt footy brazil fans pelting team bus eggs players made way home world cup worldcup bra,3
430657,rt hernameisbea sweden lost digestible frankly speaking lousy croatian loss today worse bec…,3
72027,certainly dont fear croatia semis get thats big awful tonight come england worldcup,3
519775,rt titythierry dont miss monday 10vuvuzela utbrwanda excl interviews rwanda top officials worldcup kigali atmosp…,3
141527,rt talhyyy sad argentina portugal sad messi ronaldo greatest time magicians dream o…,3
400357,rt christenpress amazing worldcup huge congratulations france sad month,3
337904,rt afp looks like get mobbed celebrating croatian players worldcup yuriyurisky,3
501952,sad times another years euros russia2018 worldcup,3
470521,per alexilalas dont touch someone foul occur ok fox fracroa worldcup,3
87590,things dont go first 1 college football ot 2 pks worldcup,3
468250,sad worldcup time take wall chart emotional itscominghome bring eng,3
278102,feel sad roberto martinez belgium importantly weve lost chance ultimate managerial rematch somehow wigan vs boro round dont worldcup sparkle belgiumvsfrance,3
441799,rt christenpress amazing worldcup huge congratulations france sad month,3
